"MUNICIPIO","UF","REGIOES_BRASIL"
"430145","RS","SUL"
"110002","RO","NORTE"
"110003","RO","NORTE"
"110004","RO","NORTE"
"220273","PI","NORDESTE"
"220275","PI","NORDESTE"
"220277","PI","NORDESTE"
"220280","PI","NORDESTE"
"220285","PI","NORDESTE"
"220290","PI","NORDESTE"
"220300","PI","NORDESTE"
"220310","PI","NORDESTE"
"220320","PI","NORDESTE"
"220323","PI","NORDESTE"
"220325","PI","NORDESTE"
"220327","PI","NORDESTE"
"220330","PI","NORDESTE"
"220335","PI","NORDESTE"
"220340","PI","NORDESTE"
"171550","TO","NORTE"
"290682","BA","NORDESTE"
"292070","BA","NORDESTE"
"350010","SP","SUDESTE"
"220342","PI","NORDESTE"
"220345","PI","NORDESTE"
"220350","PI","NORDESTE"
"130000","AM","NORTE"
"130002","AM","NORTE"
"130008","AM","NORTE"
"130010","AM","NORTE"
"130014","AM","NORTE"
"539936","DF","CENTRO-OESTE"
"130030","AM","NORTE"
"130040","AM","NORTE"
"130050","AM","NORTE"
"130063","AM","NORTE"
"130068","AM","NORTE"
"130070","AM","NORTE"
"130080","AM","NORTE"
"130083","AM","NORTE"
"130090","AM","NORTE"
"130100","AM","NORTE"
"130110","AM","NORTE"
"130115","AM","NORTE"
"130120","AM","NORTE"
"130130","AM","NORTE"
"130140","AM","NORTE"
"130150","AM","NORTE"
"130160","AM","NORTE"
"130165","AM","NORTE"
"130170","AM","NORTE"
"130180","AM","NORTE"
"130185","AM","NORTE"
"130190","AM","NORTE"
"130195","AM","NORTE"
"130200","AM","NORTE"
"130210","AM","NORTE"
"130220","AM","NORTE"
"130230","AM","NORTE"
"130240","AM","NORTE"
"130250","AM","NORTE"
"130255","AM","NORTE"
"130260","AM","NORTE"
"539937","DF","CENTRO-OESTE"
"130270","AM","NORTE"
"130280","AM","NORTE"
"130290","AM","NORTE"
"130300","AM","NORTE"
"130310","AM","NORTE"
"130320","AM","NORTE"
"130330","AM","NORTE"
"130340","AM","NORTE"
"130350","AM","NORTE"
"130353","AM","NORTE"
"130356","AM","NORTE"
"130360","AM","NORTE"
"130380","AM","NORTE"
"130395","AM","NORTE"
"130400","AM","NORTE"
"130410","AM","NORTE"
"130426","AM","NORTE"
"130430","AM","NORTE"
"130440","AM","NORTE"
"140000","RR","NORTE"
"140010","RR","NORTE"
"140017","RR","NORTE"
"140020","RR","NORTE"
"140023","RR","NORTE"
"140028","RR","NORTE"
"140050","RR","NORTE"
"140060","RR","NORTE"
"150010","PA","NORTE"
"150013","PA","NORTE"
"150020","PA","NORTE"
"150030","PA","NORTE"
"150034","PA","NORTE"
"150040","PA","NORTE"
"150050","PA","NORTE"
"150060","PA","NORTE"
"150070","PA","NORTE"
"150080","PA","NORTE"
"150085","PA","NORTE"
"150090","PA","NORTE"
"150095","PA","NORTE"
"150100","PA","NORTE"
"150110","PA","NORTE"
"150120","PA","NORTE"
"150125","PA","NORTE"
"150130","PA","NORTE"
"150140","PA","NORTE"
"150145","PA","NORTE"
"150150","PA","NORTE"
"150157","PA","NORTE"
"150160","PA","NORTE"
"150170","PA","NORTE"
"150172","PA","NORTE"
"150175","PA","NORTE"
"150178","PA","NORTE"
"150180","PA","NORTE"
"150190","PA","NORTE"
"150195","PA","NORTE"
"150200","PA","NORTE"
"150210","PA","NORTE"
"150215","PA","NORTE"
"150220","PA","NORTE"
"150230","PA","NORTE"
"150240","PA","NORTE"
"150250","PA","NORTE"
"150260","PA","NORTE"
"150270","PA","NORTE"
"150275","PA","NORTE"
"150276","PA","NORTE"
"150277","PA","NORTE"
"150280","PA","NORTE"
"150285","PA","NORTE"
"150290","PA","NORTE"
"150293","PA","NORTE"
"150295","PA","NORTE"
"150300","PA","NORTE"
"150304","PA","NORTE"
"150307","PA","NORTE"
"150309","PA","NORTE"
"150310","PA","NORTE"
"150320","PA","NORTE"
"150330","PA","NORTE"
"150340","PA","NORTE"
"150345","PA","NORTE"
"150350","PA","NORTE"
"150360","PA","NORTE"
"150370","PA","NORTE"
"150375","PA","NORTE"
"150380","PA","NORTE"
"150390","PA","NORTE"
"150400","PA","NORTE"
"150405","PA","NORTE"
"150410","PA","NORTE"
"150420","PA","NORTE"
"150430","PA","NORTE"
"150440","PA","NORTE"
"150442","PA","NORTE"
"150445","PA","NORTE"
"150450","PA","NORTE"
"150460","PA","NORTE"
"150470","PA","NORTE"
"150480","PA","NORTE"
"150490","PA","NORTE"
"150495","PA","NORTE"
"150497","PA","NORTE"
"150500","PA","NORTE"
"150503","PA","NORTE"
"150506","PA","NORTE"
"150510","PA","NORTE"
"150520","PA","NORTE"
"150530","PA","NORTE"
"150540","PA","NORTE"
"150543","PA","NORTE"
"150548","PA","NORTE"
"150549","PA","NORTE"
"150550","PA","NORTE"
"150553","PA","NORTE"
"150555","PA","NORTE"
"150560","PA","NORTE"
"150563","PA","NORTE"
"150565","PA","NORTE"
"150570","PA","NORTE"
"150580","PA","NORTE"
"150590","PA","NORTE"
"150600","PA","NORTE"
"150610","PA","NORTE"
"150611","PA","NORTE"
"150613","PA","NORTE"
"150616","PA","NORTE"
"150618","PA","NORTE"
